accession,definition,organism,taxid,length
WP_004694833.1,glycerol kinase,Acinetobacter johnsonii,40214,494
WP_004912734.1,glycerol kinase,Acinetobacter junii,40215,504
WP_004963379.1,glycerol kinase,Acinetobacter junii,40215,504
WP_004730545.1,glycerol kinase,Acinetobacter lwoffii,28090,494
WP_005096063.1,glycerol kinase,Acinetobacter lwoffii,28090,494
WP_005104771.1,glycerol kinase,Acinetobacter lwoffii,28090,494
WP_005107691.1,glycerol kinase,Acinetobacter lwoffii,28090,494
WP_004707363.1,glycerol kinase,Acinetobacter nosocomialis,106654,502
WP_013197002.1,glycerol kinase,Acinetobacter oleivorans,1148157,502
WP_004674902.1,glycerol kinase,Acinetobacter parvus,134533,502
WP_005072978.1,glycerol kinase,Acinetobacter pittii,48296,502
WP_014207452.1,glycerol kinase,Acinetobacter pittii,48296,502
WP_016140189.1,glycerol kinase,Acinetobacter pittii,48296,502
WP_016146211.1,glycerol kinase,Acinetobacter pittii,48296,502
WP_017399637.1,glycerol kinase,Acinetobacter pittii,48296,502
WP_004811098.1,glycerol kinase,Acinetobacter schindleri,108981,494
WP_004893343.1,glycerol kinase,Acinetobacter schindleri,108981,494
WP_004935523.1,glycerol kinase,Acinetobacter soli,487316,495
WP_004945906.1,glycerol kinase,Acinetobacter soli,487316,495
WP_005221135.1,glycerol kinase,Acinetobacter sp. CIP 101934,1144661,494
WP_005329277.1,glycerol kinase,Acinetobacter sp. CIP 102143,1144666,502
WP_005247089.1,glycerol kinase,Acinetobacter sp. CIP 51.11,1144670,494
WP_005179748.1,glycerol kinase,Acinetobacter sp. CIP 53.82,1144671,494
WP_004801481.1,glycerol kinase,Acinetobacter sp. CIP 56.2,1144672,504
WP_004670320.1,glycerol kinase,Acinetobacter sp. CIP-A165,40373,494
WP_019456546.1,glycerol kinase,Acinetobacter sp. GG2,651305,502
WP_008305563.1,glycerol kinase,Acinetobacter sp. HA,1173062,494
WP_005269757.1,glycerol kinase,Acinetobacter sp. NIPH 1859,1217695,504
WP_016651637.1,glycerol kinase,Acinetobacter sp. NIPH 2036,1217696,504
WP_005296128.1,glycerol kinase,Acinetobacter sp. NIPH 2100,1217708,504
WP_005259085.1,glycerol kinase,Acinetobacter sp. NIPH 2168,1217706,504
WP_005158115.1,glycerol kinase,Acinetobacter sp. NIPH 284,1217704,504
WP_005197918.1,glycerol kinase,Acinetobacter sp. NIPH 298,1217692,504
WP_005307907.1,glycerol kinase,Acinetobacter sp. NIPH 542,1217688,502
WP_005172291.1,glycerol kinase,Acinetobacter sp. NIPH 713,1217709,494
WP_004770367.1,glycerol kinase,Acinetobacter sp. NIPH 758,1217712,504
WP_004790482.1,glycerol kinase,Acinetobacter sp. NIPH 817,520708,502
WP_010115765.1,glycerol kinase,Acinetobacter sp. P8-3-8,1029823,494
WP_009392181.1,glycerol kinase,Acinetobacter sp. WC-141,903915,502
WP_018679701.1,glycerol kinase,Acinetobacter tjernbergiae,202955,504
WP_004975387.1,glycerol kinase,Acinetobacter towneri,202956,494
WP_004990838.1,glycerol kinase,Acinetobacter ursingii,108980,495
WP_004996084.1,glycerol kinase,Acinetobacter ursingii,108980,495
WP_005002941.1,glycerol kinase,Acinetobacter ursingii,108980,495
WP_004878344.1,glycerol kinase,Acinetobacter venetianus,52133,504
WP_019383911.1,glycerol kinase,Acinetobacter venetianus,52133,504
WP_016698736.1,glycerol kinase,Actinoalloteichus spitiensis,252394,505
WP_018651706.1,glycerol kinase,Actinobacillus capsulatus,717,500
WP_005819243.1,glycerol kinase,Actinobacillus minor,51047,503
WP_005825787.1,glycerol kinase,Actinobacillus minor,51047,503
WP_005596375.1,glycerol kinase,Actinobacillus pleuropneumoniae,715,503
WP_005603652.1,glycerol kinase,Actinobacillus pleuropneumoniae,715,503
WP_005619017.1,glycerol kinase,Actinobacillus pleuropneumoniae,715,503
WP_014991259.1,glycerol kinase,Actinobacillus suis,716,500
WP_016460391.1,glycerol kinase,Actinobacteria,1760,506
WP_019045226.1,glycerol kinase,Actinobacteria,1760,496
WP_019045228.1,glycerol kinase,Actinobacteria,1760,505
WP_019045288.1,glycerol kinase,Actinobacteria,1760,498
WP_018682408.1,glycerol kinase,Actinokineospora enzanensis,155975,503
WP_019633330.1,glycerol kinase,Actinomadura atramentaria,1990,510
WP_019633350.1,glycerol kinase,Actinomadura atramentaria,1990,503
WP_018653784.1,glycerol kinase,Actinomadura flavalba,1120938,506
WP_018655634.1,glycerol kinase,Actinomadura flavalba,1120938,505
WP_018656205.1,glycerol kinase,Actinomadura flavalba,1120938,505
WP_009743621.1,glycerol kinase,Actinomyces,1654,506
WP_005962316.1,glycerol kinase,Actinomyces cardiffensis,181487,508
WP_016444745.1,glycerol kinase,Actinomyces europaeus,66228,508
WP_005868694.1,glycerol kinase,Actinomyces georgiae,52768,506
WP_005986166.1,glycerol kinase,Actinomyces graevenitzii,55565,585
WP_008730923.1,glycerol kinase,Actinomyces massiliensis,461393,521
WP_017194642.1,glycerol kinase,Actinomyces massiliensis,461393,521
WP_003784692.1,glycerol kinase,Actinomyces naeslundii,1655,521
WP_003790702.1,glycerol kinase,Actinomyces odontolyticus,1660,506
WP_003795743.1,glycerol kinase,Actinomyces odontolyticus,1660,506
WP_010614478.1,glycerol kinase,Actinomyces oris,544580,511
WP_007589707.1,glycerol kinase,Actinomyces sp. ICM39,1105029,506
WP_009648566.1,glycerol kinase,Actinomyces sp. ICM47,936548,507
WP_009055628.1,glycerol kinase,Actinomyces sp. ICM58,1105030,506
WP_009747194.1,glycerol kinase,Actinomyces sp. oral taxon 170,712117,517
WP_009394447.1,glycerol kinase,Actinomyces sp. oral taxon 171,706438,511
WP_009213158.1,glycerol kinase,Actinomyces sp. oral taxon 180,651609,506
WP_009748789.1,glycerol kinase,Actinomyces sp. oral taxon 448,712124,531
WP_009198563.1,glycerol kinase,Actinomyces sp. oral taxon 848,649739,508
WP_009233209.1,glycerol kinase,Actinomyces sp. oral taxon 849,653385,521
WP_017177402.1,glycerol kinase,Actinomyces timonensis,1288391,508
WP_006680839.1,glycerol kinase,Actinomyces turicensis,131111,508
WP_006548290.1,glycerol kinase,Actinomyces urogenitalis,103621,509
WP_003789194.1,glycerol kinase,Actinomyces viscosus,1656,511
WP_004807519.1,glycerol kinase,Actinomycetaceae,2049,508
WP_009408660.1,glycerol kinase,Actinomycetaceae,2049,506
WP_018333955.1,glycerol kinase,Actinomycetospora chiangmaiensis,402650,500
WP_014690877.1,glycerol kinase,Actinoplanes,1865,492
WP_014692584.1,glycerol kinase,Actinoplanes,1865,505
WP_014692587.1,glycerol kinase,Actinoplanes,1865,498
WP_020513734.1,glycerol kinase,Actinoplanes globisporus,113565,485
WP_014441379.1,glycerol kinase,Actinoplanes missouriensis,1866,485
WP_014441381.1,glycerol kinase,Actinoplanes missouriensis,1866,486
WP_014445904.1,glycerol kinase,Actinoplanes missouriensis,1866,505
WP_014445907.1,glycerol kinase,Actinoplanes missouriensis,1866,497
WP_015623342.1,glycerol kinase,Actinoplanes sp. N902-109,649831,505
WP_015623345.1,glycerol kinase,Actinoplanes sp. N902-109,649831,501
WP_014690879.1,glycerol kinase,Actinoplanes sp. SE50/110,134676,489
WP_017973385.1,glycerol kinase,Actinopolyspora halophila,1850,501
WP_019855435.1,glycerol kinase,Actinopolyspora mortivallis,33906,502
WP_015805093.1,glycerol kinase,Actinosynnema mirum,40567,504
WP_014749304.1,glycerol kinase,Advenella kashmirensis,310575,494
WP_013668610.1,glycerol kinase,Aerococcus urinae,1376,503
WP_003142641.1,glycerol kinase,Aerococcus viridans,1377,508
WP_016897111.1,glycerol kinase,Aerococcus viridans,1377,508
WP_007078372.1,glycerol kinase,Aeromicrobium marinum,219314,510
WP_005299552.1,glycerol kinase,Aeromonas,642,500
WP_005310059.1,glycerol kinase,Aeromonas,642,500
WP_005337546.1,glycerol kinase,Aeromonas,642,500
WP_010674229.1,glycerol kinase,Aeromonas,642,500
WP_017409920.1,glycerol kinase,Aeromonas,642,500
WP_005359284.1,glycerol kinase,Aeromonas diversa,502790,500
WP_011705539.1,glycerol kinase,Aeromonas hydrophila,644,500
WP_016350303.1,glycerol kinase,Aeromonas hydrophila,644,500
WP_005901751.1,glycerol kinase,Aeromonas molluscorum,271417,500
WP_005347048.1,glycerol kinase,Aeromonas veronii,654,500
WP_016399864.1,glycerol kinase,Agarivorans albus,182262,504
WP_005700405.1,glycerol kinase,Aggregatibacter aphrophilus,732,499
WP_005703098.1,glycerol kinase,Aggregatibacter aphrophilus,732,499
WP_006717987.1,glycerol kinase,Aggregatibacter segnis,739,499
WP_003804720.1,glycerol kinase,Alcaligenes faecalis,511,497
WP_008203174.1,glycerol kinase,Algoriphagus machipongonensis,388413,500
WP_013520748.1,glycerol kinase,Alicycliphilus denitrificans,179636,501
WP_013723140.1,glycerol kinase,Alicycliphilus denitrificans,179636,501
WP_008337869.1,glycerol kinase,Alicyclobacillus acidocaldarius,405212,501
WP_012809514.1,glycerol kinase,Alicyclobacillus acidocaldarius,405212,501
WP_006445471.1,glycerol kinase,Alicyclobacillus hesperidum,89784,514
WP_012551735.1,glycerol kinase,Aliivibrio,511678,504
WP_005422118.1,glycerol kinase,Aliivibrio fischeri,668,504
WP_011263133.1,glycerol kinase,Aliivibrio fischeri,668,504
WP_012535407.1,glycerol kinase,Aliivibrio fischeri,668,504
WP_019245197.1,glycerol kinase,Alistipes ihumii,1470347,500
WP_019129470.1,glycerol kinase,Alistipes obesi,1118061,498
WP_018695943.1,glycerol kinase,Alistipes onderdonkii,328813,497
WP_010259588.1,glycerol kinase,Alistipes timonensis,1465754,497
WP_017186513.1,glycerol kinase,Alkalibacillus haloalkaliphilus,94136,497
WP_011629059.1,glycerol kinase,Alkalilimnicola ehrlichii,351052,495
WP_011971692.1,glycerol kinase,Alkaliphilus metalliredigens,208226,500
WP_012158861.1,glycerol kinase,Alkaliphilus oremlandii,461876,504
WP_018526887.1,glycerol kinase,Alkalispirochaeta alkalica,46356,499
WP_019893127.1,glycerol kinase,Allobaculum stercoricanis,174709,499
WP_018659033.1,glycerol kinase,Allofustis seminis,166939,504
WP_003777315.1,glycerol kinase,Alloiococcus otitis,1652,502
WP_014954294.1,glycerol kinase,alpha proteobacterium HIMB59,744985,493
WP_006301602.1,glycerol kinase,Aminomonas paucivorans,81412,509
WP_017470783.1,glycerol kinase,Amphibacillus jilinensis,1216008,497
WP_015010650.1,glycerol kinase,Amphibacillus xylanus,1449,497
WP_020633536.1,glycerol kinase,Amycolatopsis alba,76020,504
WP_020634636.1,glycerol kinase,Amycolatopsis alba,76020,505
WP_005167273.1,glycerol kinase,Amycolatopsis azurea,36819,505
WP_005167726.1,glycerol kinase,Amycolatopsis azurea,36819,513
WP_020643440.1,glycerol kinase,Amycolatopsis balhimycina,208443,504
WP_020647395.1,glycerol kinase,Amycolatopsis balhimycina,208443,504
WP_020662584.1,glycerol kinase,Amycolatopsis benzoatilytica,346045,502
WP_007031951.1,glycerol kinase,Amycolatopsis decaplanina,208441,503
WP_007033226.1,glycerol kinase,Amycolatopsis decaplanina,208441,505
WP_013222837.1,glycerol kinase,Amycolatopsis mediterranei,33910,504
WP_013226257.1,glycerol kinase,Amycolatopsis mediterranei,33910,504
WP_017983583.1,glycerol kinase GlpK,Amycolatopsis methanolica,1814,498
WP_020668184.1,glycerol kinase,Amycolatopsis nigrescens,381445,502
WP_020672234.1,glycerol kinase,Amycolatopsis nigrescens,381445,502
WP_020672237.1,glycerol kinase,Amycolatopsis nigrescens,381445,505
WP_016331321.1,glycerol kinase,Amycolatopsis orientalis,31958,503
WP_016335195.1,glycerol kinase,Amycolatopsis orientalis,31958,505
WP_020422811.1,glycerol kinase,Amycolatopsis sp. ATCC 39116,385957,503
WP_020423170.1,glycerol kinase,Amycolatopsis sp. ATCC 39116,385957,500
WP_003057219.1,glycerol kinase,Amycolatopsis vancoresmycina,208444,504
WP_003082344.1,glycerol kinase,Amycolatopsis vancoresmycina,208444,504
WP_015217632.1,glycerol kinase,Anabaena cylindrica,1165,497
WP_016948833.1,glycerol kinase,Anabaena sp. PCC 7108,163908,497
WP_019118271.1,glycerol kinase,Anaerococcus,165779,501
WP_004816959.1,glycerol kinase,Anaerococcus hydrogenalis,33029,501
WP_004827973.1,glycerol kinase,Anaerococcus lactolyticus,33032,501
WP_004835766.1,glycerol kinase,Anaerococcus prevotii,33034,501
WP_015778410.1,glycerol kinase,Anaerococcus prevotii,33034,501
WP_019116385.1,glycerol kinase,Anaerococcus vaginalis,33037,501
WP_007050990.1,glycerol kinase,Anaerofustis stercorihominis,214853,500
WP_013561135.1,glycerol kinase,Anaerolinea thermophila,167964,495
WP_018702084.1,glycerol kinase,Anaeromusa acidaminophila,81464,497
WP_006567424.1,glycerol kinase,Anaerostipes caccae,105841,498
WP_009289239.1,glycerol kinase,Anaerostipes sp. 3_2_56FAA,665937,498
WP_003398924.1,glycerol kinase,Anoxybacillus flavithermus,33934,494
WP_004890561.1,glycerol kinase,Anoxybacillus flavithermus,33934,494
WP_006318353.1,glycerol kinase,Anoxybacillus flavithermus,33934,496
WP_019418311.1,glycerol kinase,Anoxybacillus kamchatkensis,196180,496
WP_009361171.1,glycerol kinase,Anoxybacillus sp. DT3-1,690871,494
WP_010880244.1,glycerol kinase,Aquifex aeolicus,63363,492
WP_013169518.1,glycerol kinase,Arcanobacterium haemolyticum,28264,507
WP_019387622.1,glycerol kinase,Arenitalea lutea,1178825,499
WP_011238336.1,glycerol kinase,Aromatoleum aromaticum,551760,496
WP_018769291.1,glycerol kinase,Arthrobacter,1663,504
WP_005271764.1,glycerol kinase,Arthrobacter crystallopoietes,37928,504
WP_003800801.1,glycerol kinase,Arthrobacter globiformis,1665,504
WP_009358815.1,glycerol kinase,Arthrobacter nitrophenolicus,683150,504
WP_018773124.1,glycerol kinase,Arthrobacter sp. 131MFCol6.1,1157944,504
WP_018761406.1,glycerol kinase,Arthrobacter sp. 135MFCol5.1,1158050,504
WP_011691659.1,glycerol kinase,Arthrobacter sp. FB24,290399,509
WP_011692092.1,glycerol kinase,Arthrobacter sp. FB24,290399,504
WP_017200028.1,glycerol kinase,Arthrobacter sp. M2012083,1197706,499
WP_019482796.1,glycerol kinase,Arthrobacter sp. TB 23,494419,504
WP_002436767.1,glycerol kinase,Atlantibacter hermannii,565,501
WP_006502359.1,glycerol kinase,Austwickia chelonae,100225,506
WP_017807359.1,glycerol kinase,Avibacterium paragallinarum,728,502
WP_011766477.1,glycerol kinase,Azoarcus sp. BH72,62928,496
WP_015434842.1,glycerol kinase,Azoarcus sp. KH32C,748247,497
WP_018990843.1,glycerol kinase,Azoarcus toluclasticus,92003,496
WP_012171234.1,glycerol kinase,Azorhizobium caulinodans,7,498
WP_012703050.1,glycerol kinase,Azotobacter vinelandii,354,505
WP_003251439.1,glycerol kinase,Bacillaceae,186817,496
WP_008173628.1,glycerol kinase,Bacillaceae,186817,498
WP_008634055.1,glycerol kinase,Bacillaceae,186817,499
WP_013401182.1,glycerol kinase,Bacillaceae,186817,496
WP_018392425.1,glycerol kinase,Bacillaceae,186817,496
WP_014113171.1,glycerol kinase,Bacillales,1385,496
WP_016741429.1,glycerol kinase,Bacillales,1385,499
WP_002357138.1,glycerol kinase,Bacilli,91061,501
WP_000759975.1,glycerol kinase,Bacillus,1386,496
WP_000759991.1,glycerol kinase,Bacillus,1386,496
WP_000759995.1,glycerol kinase,Bacillus,1386,496
WP_000759998.1,glycerol kinase,Bacillus,1386,496
WP_000760003.1,glycerol kinase,Bacillus,1386,496
WP_000760007.1,glycerol kinase,Bacillus,1386,496
WP_000760008.1,glycerol kinase,Bacillus,1386,496
WP_000760009.1,glycerol kinase,Bacillus,1386,496
WP_000760011.1,glycerol kinase,Bacillus,1386,496
WP_000760013.1,glycerol kinase,Bacillus,1386,496
WP_000760015.1,glycerol kinase,Bacillus,1386,496
WP_002125757.1,glycerol kinase,Bacillus,1386,496
WP_003180088.1,glycerol kinase,Bacillus,1386,496
WP_003195725.1,glycerol kinase,Bacillus,1386,496
WP_003233384.1,glycerol kinase,Bacillus,1386,496
WP_007409284.1,glycerol kinase,Bacillus,1386,496
WP_007497075.1,glycerol kinase,Bacillus,1386,498
WP_007610291.1,glycerol kinase,Bacillus,1386,496
WP_009794678.1,glycerol kinase,Bacillus,1386,496
WP_013055263.1,glycerol kinase,Bacillus,1386,496
WP_014304694.1,glycerol kinase,Bacillus,1386,496
WP_014417284.1,glycerol kinase,Bacillus,1386,496
WP_016082604.1,glycerol kinase,Bacillus,1386,496
WP_016089017.1,glycerol kinase,Bacillus,1386,496
WP_016762943.1,glycerol kinase,Bacillus,1386,496
WP_016938408.1,glycerol kinase,Bacillus,1386,496
WP_019393963.1,glycerol kinase,Bacillus,1386,496
WP_018665197.1,glycerol kinase,Bacillus acidiproducens,1121084,496
WP_003155342.1,glycerol kinase,Bacillus amyloliquefaciens group,1938374,496
WP_000759993.1,glycerol kinase,Bacillus anthracis,1392,496
WP_003331610.1,glycerol kinase,Bacillus azotoformans,1454,496
WP_007086963.1,glycerol kinase,Bacillus bataviensis,220685,496
WP_017152957.1,glycerol kinase,Bacillus bingmayongensis,1150157,496
WP_013487987.1,glycerol kinase,Bacillus cellulosilyticus,1413,501
WP_000759976.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759978.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759979.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759980.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759982.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759983.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759985.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759986.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759988.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759990.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759992.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759994.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759996.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759999.1,glycerol kinase,Bacillus cereus,1396,496
WP_000760004.1,glycerol kinase,Bacillus cereus,1396,496
WP_000760010.1,glycerol kinase,Bacillus cereus,1396,496
WP_000760012.1,glycerol kinase,Bacillus cereus,1396,496
WP_001993992.1,glycerol kinase,Bacillus cereus,1396,496
WP_002087182.1,glycerol kinase,Bacillus cereus,1396,496
WP_002150096.1,glycerol kinase,Bacillus cereus,1396,496
WP_002170697.1,glycerol kinase,Bacillus cereus,1396,496
WP_016094611.1,glycerol kinase,Bacillus cereus,1396,496
WP_016122053.1,glycerol kinase,Bacillus cereus,1396,496
WP_017561267.1,glycerol kinase,Bacillus cereus,1396,496
WP_000759981.1,glycerol kinase,Bacillus cereus group,86661,496
WP_000759987.1,glycerol kinase,Bacillus cereus group,86661,496
WP_000759997.1,glycerol kinase,Bacillus cereus group,86661,496
WP_000760000.1,glycerol kinase,Bacillus cereus group,86661,496
WP_000760005.1,glycerol kinase,Bacillus cereus group,86661,496
